username,total_hours
troyanovaa,1779281
gadzhieva_elvira,1776043
shishkovavm,1585553
tishchenkodv,1493108
kotovaly,1433647
alenatresh,1381121
kucheruksv,1368173
ponkratovaaa,1286217
sobolevama,1246534
mileniniv,1203751
demidovaee,1149007
fadeevrv,1140292
mengyas,1139321
dajbageds,1127314
petrovarts,1098055
ezhovaga,1091577
burbelaas,1077851
ryattelav,1073710
mezan,1025272
tanyaahtanya,975303
dgluschenko,950643
smolchenkomy,915349
krylovaos,869825
cherepanovaev,864778
hodyrevan,860633
suprun_a,857785
dyakonovasg,842279
skopincevan,825971
polikarpovoa,816450
petrovake,808773
matveyukov,796238
bazhutinaov,786899
lohnevaei,755152
popovaverval,737013
zamulinaov,730137
zyryanovamo,729638
antonkireew,728128
mihajlovaev,726411
lazutkinn,725496
konyaev-alexsandr,719328
anastasiiashadchneva,712980
kushmanovati,703027
dyachenkoov,697147
xmmmmm,696440
andrey_andreew,691876
solodilovasv,671219
rylevagv,670228
OlgaStrelnikova,669260
parnovaim,664466
bondarevskijmn,649908
silaevama,639723
ibatullinaav,630595
antondnn,610631
savelevmm,602046
lyalikovavg,587918
martyshevdv,586542
yurevaoa,583888
pavlovatv,572988
akimovnv,554704
muravevalv,552980
rogozinaiv,531973
shulikavg,527406
gorumo,506298
volkovayv,500726
antoni_chupis,480124
komarovdi,478182
kozminyhms,474445
zhmurinaad,462502
dvolchek,435960
kazymovaya,423411
dubravinna,419186
samohinavalo,408456
ratnersv,400072
id_brunetochka,391987
rigosikos,384949
zlobnovaai,369359
sivakovia,366941
sorokinasofig,358425
mironovaekal,350132
id160430089,343727
novikovaea,336215
vorobevmy,334257
mishchenkoma,319594
abrosimovaoe,306675
krapivinasa,284321
reshetnikovams,272982
lactea,268659
gorbunovaa,267864
sizovny,267063
evsikovks,252864
kozyrevaes,250300
markinaekal,245180
balashovasa,232151
chursinovys,225424
mdobrobaba,211915
soa_,208366
gudisea,196644
plotnikoviv,194376
semenovnn,181093
obedkovaav,173370
holodnayaev,173089
braunve,170301
matveevamn,155869
shchitovaaa,149694
popovaanvl,125596
oegorova,124897
kuznecovaem,106729
zaripovagm,106134
lazyrinms,80013
salihover,74297
fastmotor,72370
grafeeva,61124
vlasovne,60135
yakovlevairn,59631
boitsev,53565
ulyanovay,49224
mariia_i,33626
egmichailova,20584
petrik,1791
paaashaaa,1165
larkk31,42
dmitrysheshukov,24
rustamazimov19021995,19
rezaiann,3
bachelor_itmo,1
