word,search_count
нормировка,11
транспониро,9
евклидово,9
выборочное среднее:,7
PERSISTEXPIREAT,7
медиана,6
линейная,6
GROUP BY,6
относите,5
дисперсия,5
среднее,4
первы,4
медиаф,4
выборочная дисперсия,4
reshape,4
numpy,4
count,4
учите,3
таблица 1,3
средневзве,3
медт,3
медиф,3
ТЕКУЩ,3
ДАТА,3
iloc.,3
functio,3
data.head,3
LIKE,3
цикл,2
фактор,2
трасп,2
срез,2
сортир,2
содержит,2
нечет,2
методомо,2
линц,2
выбр,2
sokve,2
pandas,2
nhfyc,2
masha,2
having,2
csv,2
array,2
REFERENCES,2
NUMER,2
Birc,2
чет,1
фильтр,1
транспог,1
так,1
счето,1
сру,1
срк,1
списки,1
нормип,1
между,1
медиар,1
лину,1
дисперп,1
взвеш,1
веср,1
весо,1
zip,1
wbrk,1
value,1
to_char,1
solve,1
shape,1
mape,1
loc,1
lkbyf,1
like,1
len,1
join,1
insert,1
index,1
idex,1
for,1
drop,1
decimal,1
cjl,1
cjh,1
cht,1
abkm,1
aPE,1
SYS,1
STOP_TIME_REAL,1
SMEMBERS,1
SADD,1
RPUSH,1
Loc,1
LFNF,1
DISTINCT,1
