video_id,video_link,views_count,unique_students_count,popular_fragments
55359abfc45d442690fcd4e9e6e71ed7,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/,5622,117,"(416, 715)"
aa14ba497c8d48e0ba4d9795ad661f6f,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,6954,101,"(423, 758)"
53b4f7d7f1304d88beed838428d4b88a,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b1faa0a35d794207bba406d2be1e9285/ac6b1937ac934d73b2af5fe18b6f854d/1,6564,101,"(427, 687)"
ce94bcb567ff474197bec66d8fdc26ef,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/,5935,107,"(342, 564)"
c31ee7b4e7f44b03b9aaccdc1f625fac,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/484762194a504410855c71caa954ca7b/3e9b4d8b02ef461aab3fe79a82f954bf/,5127,93,"(489, 746)"
e9c9d169f3404a148cb86aa47dbd41c1,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/68b4180d60b8412d8da23484f370bd02/a069095d9ede4b8ea2d92ababd6e5a31/,5967,108,"(343, 562)"
29d1b93694c74c4589eac7c7035d8a26,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b1faa0a35d794207bba406d2be1e9285/ac6b1937ac934d73b2af5fe18b6f854d/,6821,98,"(400, 628)"
6190df3b64b445968e868f8aee580883,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a2a413c671134a989bbed1781c030756/2277f96f8751433b9cbda5382f03d044/,2898,90,"(377, 624)"
28c079983af2451c91cb16f2a2163af2,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,3173,110,"(266, 507)"
8efbb31c45da40c081f964c5a7a70ba0,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a2a413c671134a989bbed1781c030756/2277f96f8751433b9cbda5382f03d044/,5207,93,"(282, 449)"
e0498836a93e4363a3285081f993fbe6,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,3858,102,"(216, 228)","(230, 388)"
54bdd81d827143bba79b47b3f97439b9,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/484762194a504410855c71caa954ca7b/3e9b4d8b02ef461aab3fe79a82f954bf/,4545,89,"(359, 660)"
985929ef712f45e18d3ba43a9e3f6660,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/,3121,109,"(291, 519)"
bfe9610ccd1c4ec9908b67f1858441a7,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a2a413c671134a989bbed1781c030756/2277f96f8751433b9cbda5382f03d044/,2271,95,"(207, 328)"
4bc084ad7e214feea2cf62d7f69a0f10,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/,3541,112,"(457, 697)"
a06a9c6a3a5e4c958cff09e39d441a26,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b1faa0a35d794207bba406d2be1e9285/ac6b1937ac934d73b2af5fe18b6f854d/,3763,99,"(182, 319)"
2c135515f2154acb905515b6b829db35,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/,2284,78,"(315, 483)"
d1ab8b9b96c4400f83545291a5522471,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,1685,75,"(277, 478)"
3b606c1924454d58933013f7a8326663,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/,2972,110,"(324, 570)"
2425c30f964e48d7af24bc940b5fed57,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a2a413c671134a989bbed1781c030756/2277f96f8751433b9cbda5382f03d044/1,3021,84,"(259, 448)"
8cca08001fae463794ffae1ac1268ee6,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/123bf1103a954d9ea145f4bb17acb6f8/e21a44f250d247b0b84006f4a81a1b16/,2342,54,"(291, 482)"
6d326e999c754c6ba95c3b42cbef6223,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,1717,73,"(311, 324)","(333, 535)"
511cfa0666254878bb7efaaeee2719b4,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,2113,76,"(268, 405)"
1a83c44637ba457d938e262cdfb94ff4,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,2054,73,"(259, 446)"
b97689724d5c4f1ca02fcdf2cb3bc3e9,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,2847,99,"(179, 293)"
ffbd1761f5154dbe8584190ef661c6e7,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/123bf1103a954d9ea145f4bb17acb6f8/e21a44f250d247b0b84006f4a81a1b16/,1622,66,"(274, 476)"
109fbf95cb29491fa4dcb79800c39616,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/b3c2a3cc716b434397c089c31fafeddc/64bc9d18c729445583f29013f3772398/,3333,109,"(546, 907)"
908d8dd3c4e74ffebde38480902de060,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/a4cffffbad70416bafa2b5a67525c1c8/c9f95fe64ee144b493b8b3864bb0581a/,1850,74,"(267, 285)","(286, 468)"
8a4dda650a5b4690abb5d34ff04e8009,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/9fbe3b3f0d55488b8287412f935981d6/01e4e7833f2746faa6ad2d5d2ab4f9b4/,2192,100,"(226, 387)"
0b6c4fbe0fe5476eb51dd764f78b5945,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/1f04e176f3ab4e57aa8279610f03fc06/080cb770c2974b679b8b326e0bc0d0fa/,2116,70,"(310, 325)","(328, 512)"
dd131e610dec4d11947e3a258257a0c7,https://courses.openedu.ru/courses/course-v1:ITMOUniversity+DATANTECH2035+summer_2022_1/courseware/cbf1ecb85bf7450fb4ec716fe59f0f03/f70d5986af0843a5ba1be40b5d52ea3e/,1859,75,"(211, 368)"
