username,time_on_course
mtokman,931416
itmo375245,768972
egmichailova,630257
itmo412972,594135
pshvets2719,541340
itmo412976,539873
itmo409872,529718
itmo408639,522757
alyona_dyachkova,522055
itmo409333,505463
itmo412993,494779
itmo412988,476442
itmo374214,409488
itmo408884,405170
itmo382691,404221
itmo409343,400311
itmo375244,397340
itmo408110,384086
oegorova,376952
itmo384234,375118
itmo408430,373521
itmo409443,358584
itmo409237,358517
itmo409880,352946
itmo412888,348870
itmo409521,343748
itmo408833,330200
itmo408516,325447
google.115753851597580473401,321170
itmo408336,317683
itmo412883,316107
itmo361992,310528
itmo408998,306428
itmo409363,306093
itmo409281,303203
itmo412932,302631
itmo408131,301768
itmo409179,297416
itmo408803,295098
itmo413101,294366
itmo408546,292288
itmo408973,284661
itmo408902,283772
itmo376517,278003
itmo408849,276149
itmo408577,274043
itmo409898,267756
itmo409173,265351
itmo409670,264695
itmo409254,259797
itmo374801,257646
annabelousoffa,256498
itmo409344,255687
itmo409552,251807
itmo409654,250450
asya3323,247853
itmo413027,245087
itmo409540,241496
google.107226560786404253255,240197
itmo397812,238974
itmo414248,238807
itmo375271,235374
itmo408169,231846
itmo408150,231785
itmo409328,231725
itmo408883,230321
itmo408717,225193
deathlu,224472
itmo408288,221158
sandrabosa,218719
adlix,218444
itmo408323,218225
itmo409257,217463
itmo408535,217083
itmo374216,216491
st070645,214733
itmo413805,213722
itmo408979,212983
itmo409316,212397
itmo412890,210177
itmo409902,209820
itmo367373,208918
itmo374800,207172
itmo412953,206487
itmo409234,205796
itmo412895,204647
itmo409154,204620
mashapshacieva,203821
itmo408309,202229
itmo182641,201833
itmo408969,201755
itmo413100,198682
itmo408532,197945
itmo408862,197492
itmo408333,197254
itmo368662,196623
itmo395853,195845
itmo408270,195706
itmo409600,195576
ohnomash,195569
itmo408404,194461
itmo409649,192877
gorumo,192351
itmo412947,192142
itmo374809,191635
itmo408464,189707
m_yutman,189568
shav_aslan,189286
arseniy.yirin,189004
vallibi,188905
itmo413037,188842
itmo383552,188169
itmo408821,187901
itmo408227,187568
itmo414254,187079
itmo408588,186460
itmo374794,185314
itmo413072,185095
deasblackz,182295
itmo408276,181636
itmo408484,180533
itmo380174,180474
itmo368960,180267
itmo408294,178322
itmo413476,178192
itmo408114,176603
itmo413053,173636
google.100714392620796756404,171762
itmo356389,171638
itmo409450,171487
itmo408942,171406
itmo408144,171286
itmo368451,171256
itmo409609,170314
itmo409857,169447
itmo408290,169410
itmo412951,168863
itmo377014,167899
itmo409936,167214
itmo409590,166901
konstantin2131,166748
itmo409289,166461
itmo409010,166264
itmo409098,165999
itmo374387,165163
itmo413772,164885
katya_sha,164107
itmo374253,163369
itmo408231,163252
itmo408922,162955
itmo409055,161895
itmo409140,159719
itmo341992,159353
itmo408406,158568
itmo408228,158312
itmo408960,157799
itmo409057,156365
itmo412917,155776
itmo408550,155454
medovik738906,154213
itmo413744,154174
itmo413034,153415
