pdf_name,views_count,unique_students_count
1._Введение_в_науку_о_данных.pdf,24604,365
10._NoSQL_хранилища_2021.pdf,21,18
13._Cassandra_2021.pdf,1,1
14._Neo4j_2021.pdf,1,1
2._Инструменты_обработки_данных.pdf,249,145
3._Визуализация_данных_2022.pdf,248,139
4._Анализ_и_преобразование_данных.pdf,577,187
5._Работа_с_временными_рядами_2022.pdf,339,133
6._Системы_управления_базами_данных.pdf,3,3
6_Системы_управления_базами_данных.pdf,50,43
7._Проектирование__структурированных_данных.pdf,62,37
8._Запросы_на_языке_SQL.pdf,43,20
9._Объекты_базы_данных.pdf,30,15
