username,solved_tasks
coach_elena,26
dtarasova,13
funtikai_bd,135
google.105454590071102478555,51
google.109853245525687599536,13
google.117370320734680583514,16
grafeeva,11
id251575164,50
id509118836,61
itmo247975,18
itmo305506,50
itmo311397,48
itmo311489,44
itmo311659,20
itmo312719,43
itmo343070,17
itmo361779,23
itmo361809,49
itmo367125,8
itmo367214,30
itmo367392,43
itmo372756,11
itmo374052,18
itmo374694,106
itmo378691,27
itmo381957,128
itmo388751,29
itmo394331,42
itmo408125,24
itmo408160,26
itmo408165,84
itmo408178,80
itmo408195,130
itmo408212,47
itmo408223,45
itmo408233,62
itmo408275,87
itmo408284,13
itmo408321,25
itmo408325,105
itmo408334,46
itmo408340,13
itmo408347,4
itmo408352,9
itmo408359,10
itmo408363,72
itmo408385,119
itmo408408,43
itmo408433,135
itmo408446,37
itmo408474,11
itmo408475,41
itmo408477,154
itmo408492,38
itmo408496,10
itmo408504,59
itmo408505,36
itmo408518,43
itmo408530,42
itmo408539,77
itmo408557,44
itmo408570,72
itmo408584,133
itmo408595,36
itmo408613,84
itmo408618,4
itmo408622,62
itmo408623,44
itmo408625,43
itmo408629,85
itmo408643,124
itmo408653,105
itmo408654,102
itmo408673,49
itmo408699,37
itmo408700,48
itmo408708,49
itmo408716,8
itmo408720,46
itmo408722,43
itmo408752,65
itmo408755,18
itmo408777,10
itmo408798,152
itmo408816,61
itmo408817,30
itmo408822,218
itmo408828,45
itmo408853,48
itmo408857,74
itmo408879,88
itmo408895,25
itmo408925,80
itmo408934,47
itmo408936,19
itmo408947,38
itmo408956,79
itmo408978,37
itmo408994,10
itmo409030,62
itmo409069,25
itmo409095,7
itmo409097,85
itmo409101,135
itmo409108,56
itmo409114,21
itmo409118,146
itmo409122,22
itmo409131,45
itmo409167,47
itmo409170,59
itmo409177,179
itmo409184,87
itmo409185,31
itmo409189,148
itmo409194,30
itmo409222,20
itmo409224,133
itmo409243,61
itmo409283,41
itmo409345,98
itmo409374,7
itmo409379,62
itmo409387,42
itmo409388,36
itmo409390,88
itmo409396,91
itmo409399,133
itmo409418,120
itmo409419,7
itmo409427,44
itmo409435,58
itmo409451,21
itmo409457,26
itmo409460,60
itmo409466,19
itmo409481,31
itmo409486,209
itmo409502,20
itmo409506,44
itmo409527,48
itmo409532,128
itmo409547,34
itmo409551,46
itmo409564,58
itmo409582,148
itmo409591,19
itmo409593,22
itmo409608,14
itmo409612,4
itmo409615,30
itmo409628,24
itmo409634,110
itmo409635,46
itmo409644,13
itmo409681,14
itmo409687,4
itmo409705,136
itmo409722,18
itmo409739,56
itmo409740,185
itmo409764,34
itmo409776,204
itmo409798,120
itmo409831,48
itmo409859,35
itmo409867,42
itmo409875,44
itmo409900,151
itmo409927,150
itmo409940,48
itmo409944,50
itmo409951,21
itmo412881,6
itmo412906,34
itmo412921,26
itmo412937,46
itmo412945,80
itmo412954,67
itmo412957,45
itmo412987,12
itmo413017,43
itmo413042,145
itmo413061,12
itmo413089,151
itmo413109,11
itmo413112,21
itmo413735,24
itmo413776,32
itmo414227,14
itmo414261,8
itmo414730,39
kamilisxakof,26
kirill.vasilev.sx@gmail.com,8
lubavarumka,20
luslaze,44
mari.yuricina@icloud.com,43
mtokman,2
nanioche,32
nastya.serova.2005@mail.ru,65
nvoron123,88
oegorova,1
papereddy,25
proshab,38
ramin2005,62
seraphina,22
skaliushartem,153
sylt_lingon,44
uchjva,44
vikvav04,17
zzdoh,13
