username,viewed_chapters
aartishosck,1
egmichailova,2
google.117370320734680583514,6
grafeeva,6
id268989083,3
itmo247975,5
itmo305506,2
itmo311397,1
itmo311659,2
itmo312719,5
itmo343070,4
itmo367125,5
itmo367214,4
itmo367392,2
itmo368911,5
itmo372756,4
itmo374253,1
itmo374694,3
itmo380174,1
itmo388751,4
itmo394331,1
itmo408125,4
itmo408178,7
itmo408195,4
itmo408223,4
itmo408233,3
itmo408275,1
itmo408284,4
itmo408325,4
itmo408334,2
itmo408340,3
itmo408347,1
itmo408385,10
itmo408408,1
itmo408433,2
itmo408474,3
itmo408475,5
itmo408477,1
itmo408492,4
itmo408504,3
itmo408505,7
itmo408518,4
itmo408557,1
itmo408570,5
itmo408584,1
itmo408595,1
itmo408613,1
itmo408622,5
itmo408623,1
itmo408625,5
itmo408643,14
itmo408654,1
itmo408673,1
itmo408700,1
itmo408708,2
itmo408716,1
itmo408720,1
itmo408722,1
itmo408752,5
itmo408755,6
itmo408798,6
itmo408816,1
itmo408817,2
itmo408822,1
itmo408853,3
itmo408879,6
itmo408895,1
itmo408908,1
itmo408925,6
itmo408934,5
itmo408947,1
itmo408994,5
itmo409002,1
itmo409030,1
itmo409095,1
itmo409097,1
itmo409101,3
itmo409108,1
itmo409114,1
itmo409118,1
itmo409122,1
itmo409131,1
itmo409167,3
itmo409177,2
itmo409184,3
itmo409189,4
itmo409194,2
itmo409224,5
itmo409243,3
itmo409283,1
itmo409345,2
itmo409379,2
itmo409388,5
itmo409390,1
itmo409396,14
itmo409399,5
itmo409418,1
itmo409419,5
itmo409427,2
itmo409435,10
itmo409451,1
itmo409460,6
itmo409466,1
itmo409481,1
itmo409486,2
itmo409502,5
itmo409527,1
itmo409532,2
itmo409547,4
itmo409551,5
itmo409564,4
itmo409582,1
itmo409591,2
itmo409593,1
itmo409612,4
itmo409615,1
itmo409634,2
itmo409687,1
itmo409705,3
itmo409739,5
itmo409740,2
itmo409764,1
itmo409798,14
itmo409867,3
itmo409875,8
itmo409900,8
itmo409927,4
itmo409944,6
itmo412906,5
itmo412937,2
itmo412954,9
itmo412957,1
itmo412987,4
itmo413017,3
itmo413089,3
itmo414227,5
itmo414261,2
itmo414730,2
kamilisxakof,7
kirill.vasilev.sx@gmail.com,2
mari.yuricina@icloud.com,5
mtokman,7
nastya.serova.2005@mail.ru,6
nvoron123,1
papereddy,1
ramin2005,10
skaliushartem,2
sylt_lingon,5
uchjva,5
vikvav04,5
