username,total_hours
mtokman,1158770
itmo409582,984344
itmo409418,893838
itmo408433,737376
itmo409486,524485
itmo408822,502051
itmo409379,491100
itmo408325,481665
itmo409097,468864
itmo408857,456905
itmo408477,426035
itmo361809,423490
itmo409527,400903
itmo408275,378567
funtikai_bd,377923
itmo409243,369126
itmo408539,359193
itmo408385,354957
itmo408570,349488
itmo409101,344296
itmo381957,328167
itmo409739,327100
itmo409927,322685
google.109853245525687599536,320288
itmo408895,309624
nvoron123,304321
itmo409900,299055
itmo409396,297174
itmo409798,295131
itmo409184,294075
itmo408195,286466
itmo408925,279856
itmo408613,279443
itmo409481,273772
mari.yuricina@icloud.com,268254
itmo247975,264637
egmichailova,264361
itmo408622,262921
grafeeva,262654
itmo412954,261707
itmo408629,255786
itmo408673,255277
itmo409532,253527
itmo413089,241912
itmo408408,237989
itmo409345,234371
itmo412937,233417
itmo408625,232605
itmo409944,230748
itmo409547,226952
itmo409460,226170
itmo408653,226033
itmo388751,225754
itmo409940,225436
itmo394331,220045
id251575164,214220
itmo409390,210197
itmo409224,209049
itmo409776,208616
itmo413109,203468
itmo409451,202780
itmo409170,194987
itmo408233,194485
itmo408956,193928
itmo409705,193712
itmo361779,193396
itmo409551,192089
itmo305506,191320
itmo409177,190879
itmo412945,189923
itmo408853,186402
itmo408720,185797
itmo312719,185146
itmo409831,184315
itmo409118,183069
itmo413112,181233
itmo409030,180616
itmo408936,177340
itmo408223,174710
itmo408321,171344
itmo409681,168705
ramin2005,163038
vallibi,162540
itmo409435,160859
itmo409388,157643
itmo408505,156622
itmo408584,153691
itmo409114,149127
kamilisxakof,149016
itmo409502,148170
luslaze,147958
itmo409764,147803
itmo409108,146595
itmo409399,145826
itmo409387,145403
itmo408700,143595
uchjva,143230
itmo409634,140885
itmo413017,140731
itmo408643,140337
itmo408475,140265
itmo409189,139782
itmo408816,138439
itmo409635,138181
itmo408492,133893
itmo368911,133502
itmo408798,132980
nanioche,132744
itmo408879,132560
itmo414227,131363
gorumo,131018
itmo409122,130913
itmo409283,130093
itmo372756,129908
itmo409185,129720
itmo408716,129155
id268989083,128707
itmo413042,128480
itmo374694,127540
itmo408654,127068
itmo408474,125519
itmo409131,124631
itmo408623,124192
itmo374052,123784
skaliushartem,123466
oegorova,119696
nastya.serova.2005@mail.ru,113968
itmo408752,112676
itmo408978,111939
itmo367214,109838
itmo408334,109713
itmo408212,109663
itmo409167,106960
itmo409591,105747
itmo408178,104191
id509118836,102991
google.105454590071102478555,102505
itmo408817,102281
itmo343070,100907
itmo378691,98617
itmo408359,98402
itmo408557,96957
itmo408934,94844
sylt_lingon,94455
itmo408284,93225
itmo409419,90194
itmo409194,89239
itmo408722,89163
itmo408504,86454
itmo408125,85685
itmo409095,82428
itmo408160,80200
itmo409506,80101
itmo408708,79200
itmo311397,78797
itmo408446,78454
itmo409740,78435
itmo408518,77732
itmo408699,76446
itmo409427,74585
itmo409615,74051
itmo412957,73588
itmo408363,73063
itmo409687,72262
itmo414730,71090
itmo408352,70779
itmo408165,70737
dtarasova,66240
itmo409564,65884
proshab,65855
itmo408530,65520
itmo412921,61821
itmo409859,60743
itmo408340,60372
itmo409628,60195
itmo367392,59373
itmo408618,58377
itmo412987,57342
itmo409867,57323
itmo408947,56093
vikvav04,55390
itmo409875,55231
itmo413061,55210
itmo408755,55184
itmo413776,53620
itmo408994,53506
itmo311489,53067
itmo409374,52636
papereddy,50084
itmo409951,49859
lubavarumka,49582
itmo409466,45920
itmo409612,45711
itmo408828,45264
google.117370320734680583514,44254
coach_elena,43446
itmo412906,33980
itmo409069,33131
itmo409222,32725
zzdoh,31052
itmo409644,28123
itmo409457,27546
kirill.vasilev.sx@gmail.com,26919
itmo367125,26780
seraphina,22793
itmo408496,22641
itmo409593,20531
itmo408777,20032
itmo409247,19611
itmo413735,19227
itmo409251,15908
itmo409608,13278
itmo414261,12870
itmo408595,9292
itmo412878,8744
aartishosck,8210
itmo409928,7119
itmo408347,6261
itmo412881,6026
itmo409032,4051
itmo409722,3300
itmo412873,3273
itmo311659,2874
itmo409002,1906
itmo389871,747
rhenium,409
kofiept,170
itmo367882,159
itmo374253,155
itmo408799,121
itmo408694,104
itmo408908,66
kera_nago,63
itmo380174,57
itmo409152,19
bachelor_itmo,2
itmo408369,2
id156748536,1
itmo368341,1
itmo409590,1
itmo408454,0
itmo408769,0
marcizn100.gmail.com,0
