username,activity_days
mtokman,53
itmo381957,38
itmo409927,37
itmo409486,36
itmo408385,36
itmo409418,35
itmo408653,34
itmo408895,34
itmo408879,33
itmo409582,32
itmo408433,32
itmo408822,31
itmo408477,31
itmo409527,30
itmo408195,29
grafeeva,29
itmo409184,29
itmo409379,28
mari.yuricina@icloud.com,28
itmo409547,28
itmo409396,28
itmo408613,27
itmo409345,27
gorumo,26
itmo409243,26
itmo408857,26
itmo409776,26
itmo409097,26
itmo409831,26
itmo361809,26
itmo409798,26
itmo409435,26
itmo409177,26
itmo305506,25
itmo409399,25
itmo409101,25
itmo409532,25
itmo408622,25
itmo409460,24
itmo408584,24
itmo412945,23
nvoron123,23
itmo409390,23
itmo409108,23
itmo408654,23
itmo408720,23
itmo409224,22
itmo409740,22
itmo413089,22
itmo409502,22
itmo409900,22
itmo408505,21
itmo409739,21
itmo408539,21
itmo408212,20
itmo408233,20
itmo409170,20
itmo412954,20
itmo408673,20
itmo408936,20
itmo408925,20
itmo408722,20
itmo408275,19
itmo409118,19
itmo408798,18
funtikai_bd,18
ramin2005,18
itmo409551,18
itmo409591,18
sylt_lingon,17
itmo409481,17
itmo408570,17
itmo409944,17
itmo409681,17
google.109853245525687599536,17
itmo408956,17
itmo408363,17
itmo409122,17
itmo408408,16
papereddy,16
itmo361779,16
itmo408475,16
itmo408700,16
itmo413109,16
itmo412937,16
itmo408817,16
itmo408325,16
itmo409189,16
itmo408321,16
itmo409635,16
itmo409634,16
oegorova,16
itmo409185,15
itmo414227,15
itmo409451,15
itmo408629,15
itmo408352,15
itmo408752,15
skaliushartem,15
itmo374694,15
itmo413017,15
itmo408643,14
itmo394331,14
itmo408518,14
itmo408816,14
itmo409114,14
itmo409131,14
itmo408223,13
itmo408178,13
itmo409705,13
itmo408625,13
google.105454590071102478555,13
itmo413042,13
itmo409030,13
id509118836,13
uchjva,13
itmo408853,13
itmo408359,12
itmo408340,12
itmo408504,12
itmo247975,12
itmo409564,12
itmo409387,12
itmo409615,12
itmo378691,12
id251575164,12
itmo409940,12
itmo408708,11
itmo367392,11
itmo408530,11
itmo409764,11
proshab,11
luslaze,11
itmo408334,11
itmo409867,11
kamilisxakof,10
itmo408623,10
itmo408474,10
itmo414730,10
itmo409222,10
egmichailova,10
itmo408160,10
itmo408125,10
itmo412957,10
itmo409388,10
lubavarumka,10
itmo368911,10
itmo311397,10
itmo409095,9
itmo409427,9
itmo409283,9
itmo409506,9
itmo408978,9
itmo409167,9
itmo408284,9
itmo413776,9
itmo408496,8
itmo409875,8
itmo408947,8
itmo409194,8
itmo388751,8
itmo408699,8
itmo408934,8
dtarasova,8
itmo408716,8
nastya.serova.2005@mail.ru,8
itmo408492,8
itmo312719,8
itmo408755,8
itmo372756,7
itmo343070,7
itmo367214,7
itmo374052,7
itmo408165,7
itmo408618,7
itmo408828,7
itmo408994,7
itmo409419,7
itmo409466,7
itmo409593,7
itmo409612,7
itmo409628,7
itmo409859,7
itmo412906,7
itmo412921,7
itmo414261,7
seraphina,7
vallibi,6
zzdoh,6
google.117370320734680583514,6
itmo413112,6
itmo408595,6
itmo408557,6
itmo409608,6
itmo408446,6
itmo412987,6
id268989083,6
vikvav04,6
itmo409069,5
itmo413061,5
aartishosck,5
nanioche,5
itmo367125,5
itmo311489,5
itmo409247,5
itmo413735,5
itmo409951,5
itmo409374,4
itmo409687,4
itmo412873,3
itmo408777,3
kirill.vasilev.sx@gmail.com,3
itmo409457,3
itmo412878,3
rhenium,2
itmo367882,2
itmo408369,2
itmo409251,2
itmo409032,2
itmo409002,2
itmo412881,2
itmo409644,2
coach_elena,2
itmo408799,2
kofiept,1
itmo409152,1
itmo409928,1
bachelor_itmo,1
itmo408908,1
itmo408769,1
itmo408694,1
itmo408454,1
itmo408347,1
itmo389871,1
kera_nago,1
itmo380174,1
itmo374253,1
marcizn100.gmail.com,1
itmo368341,1
itmo311659,1
id156748536,1
itmo409722,1
itmo409590,1
