word,search_count
,45
выброс,23
медиана,18
дисперсия,13
экстр,11
экс,9
дисперси,8
меди,8
выбросы,8
диспер,8
мед,6
выбро,6
экстремальные выбросы,6
экстремальн,6
медиа,6
ме,6
вы,5
дис,5
экст,5
диспе,4
сглаж,4
Сез,4
период,4
карди,3
Се,3
медиан,3
д,3
эк,3
дисп,3
дисперс,3
экспонен,3
кар,3
экстре,3
экстрем,3
"ds,hjc",3
vtlb,3
экстри,3
экстрим,3
сгла,2
экспон,2
ЭКСТ,2
экспоненц,2
пери,2
ЭКСТР,2
трой,2
м,2
экстрима,2
нормиро,2
раздели,2
разд,2
экстремальные,2
Сезо,2
целе,2
yjhv,2
степень,2
сглажи,2
l,2
сглаживан,2
линейн,2
выб,2
эксоненциаль,2
эксоненциальн,2
много,1
многоз,1
многозн,1
норм,1
норми,1
обработ,1
отношен,1
отношени,1
отношение,1
перио,1
периоди,1
периодич,1
периодично,1
прогно,1
разде,1
разделите,1
с,1
степен,1
степент,1
тро,1
тройн,1
тройной,1
уравн,1
уравнение,1
уравнение линей,1
уравнение линейн,1
холь,1
ц,1
цело,1
ь,1
э,1
эксо,1
эксоне,1
эксонен,1
эксоненциа,1
эксоненциальное,1
экстрема,1
экстремал,1
экстремальны,1
экстремальный,1
экстремальный в,1
экстремальный выброс,1
экстремальнэкстремальн,1
экстримал,1
экстримальные выбросы,1
экстрмальные выбросы,1
'rc,1
'rcgj,1
'rcgjy,1
D,1
DI,1
JOIN,1
SMA,1
SMA off,1
SMA offline,1
ds,1
"ds,hj",1
"ds,hjcs",1
f,1
gthb,1
hf,1
lb,1
lbc,1
lbcg,1
rf,1
vt,1
vtl,1
vtlbf,1
wt,1
y,1
А,1
Атрибуты,1
Медиана,1
Сезон,1
Холь,1
Хольт,1
ЭК,1
агрегиров,1
агрегирование,1
атри,1
атриб,1
атрибу,1
атрибут,1
виды,1
выбр,1
гори,1
горизо,1
деспе,1
ди,1
диса,1
дисперсии,1
диспр,1
диспре,1
диспреси,1
епрди,1
ж,1
ка,1
кардина,1
кардинальное,1
ли,1
логарифм,1
медин,1
медина,1
медтана,1
меото,1
метод,1
минималь,1
