date,count
2024-02-10,594
2024-02-11,906
2024-02-12,875
2024-02-13,305
2024-02-14,1409
2024-02-15,646
2024-02-16,334
2024-02-17,410
2024-02-18,515
2024-02-19,247
2024-02-20,1463
2024-02-21,542
2024-02-22,524
2024-02-23,317
2024-02-24,140
2024-02-25,611
2024-02-26,104
2024-02-27,550
2024-02-28,681
2024-02-29,412
2024-03-01,182
2024-03-02,208
2024-03-03,295
2024-03-04,375
2024-03-05,367
2024-03-06,642
2024-03-07,661
2024-03-08,317
2024-03-09,431
2024-03-10,612
2024-03-11,349
2024-03-12,452
2024-03-13,987
2024-03-14,651
2024-03-15,283
2024-03-16,381
2024-03-17,698
2024-03-18,598
2024-03-19,772
2024-03-20,673
2024-03-21,963
2024-03-22,726
2024-03-23,1220
2024-03-24,2319
2024-03-25,791
2024-03-26,270
2024-03-27,181
2024-03-28,72
2024-03-29,207
2024-03-30,121
2024-03-31,58
2024-04-01,15
2024-04-02,19
2024-04-03,78
2024-04-04,173
2024-04-06,46
2024-04-07,77
2024-04-08,54
2024-04-09,48
2024-04-10,119
2024-04-11,59
2024-04-13,37
