date,count
2022-06-20 00:00:00+03:00,2
2022-06-27 00:00:00+03:00,95
2022-07-04 00:00:00+03:00,107
2022-07-11 00:00:00+03:00,104
2022-07-18 00:00:00+03:00,103
2022-07-25 00:00:00+03:00,101
2022-08-01 00:00:00+03:00,99
2022-08-08 00:00:00+03:00,107
2022-08-15 00:00:00+03:00,101
2022-08-22 00:00:00+03:00,89
2022-08-29 00:00:00+03:00,78
2022-09-05 00:00:00+03:00,41
2022-09-12 00:00:00+03:00,95
2022-09-19 00:00:00+03:00,90
2022-09-26 00:00:00+03:00,89
2022-10-03 00:00:00+03:00,82
2022-10-10 00:00:00+03:00,80
2022-10-17 00:00:00+03:00,77
2022-10-24 00:00:00+03:00,42
2022-10-31 00:00:00+03:00,28
2022-11-07 00:00:00+03:00,26
2022-11-14 00:00:00+03:00,20
