pdf_name,scrolling_amount
1._Введение_в_науку_о_данных.pdf,27691
1.Введение.pdf,121
10._NoSQL_хранилища_2021.pdf,91
11._Redis_2021.pdf,68
12._MongoDB_2021.pdf,71
13._Cassandra_2021.pdf,65
14._Neo4j_2021.pdf,55
2._Инструменты_обработки_данных.pdf,300
2.Python.pdf,472
3._Визуализация_данных.pdf,226
4._Анализ_и_преобразование_данных.pdf,217
5._Работа_с_временными_рядами.pdf,48
5._Работа_с_временными_рядами_2022.pdf,116
6._Системы_управления_базами_данных.pdf,165
7._Проектирование_структурированных_данных.pdf,216
8._Запросы_на_языке_SQL.pdf,201
9._Объекты_базы_данных.pdf,135
LogisticRegression.pdf,97
norm_МГК.pdf,92
SVM.pdf,69
Классификаторы_KNN_и_наивный_байес_fin.pdf,106
Кластеризация_fin.pdf,85
Подкрепление.pdf,78
Регрессия_fin.pdf,104
Ресемплинг.pdf,55
Энтропия_и_ДПР.pdf,65
,0
