username,solved_tasks
OlgaStrelnikova,289
abrosimovaoe,86
akimovnv,256
alenatresh,274
anastasiiashadchneva,150
andrey_andreew,284
antondnn,183
antoni_chupis,216
antonkireew,221
balashovasa,38
bazhutinaov,280
bondarevskijmn,64
braunve,63
burbelaas,246
cherepanovaev,337
chursinovys,21
dajbageds,342
demidovaee,181
dgluschenko,229
dubravinna,200
dvolchek,6
dyachenkoov,211
dyakonovasg,155
egmichailova,1
evsikovks,153
ezhovaga,270
fadeevrv,223
fastmotor,8
gadzhieva_elvira,295
gorbunovaa,42
gorumo,6
gudisea,36
hodyrevan,152
holodnayaev,20
ibatullinaav,86
id160430089,215
id_brunetochka,157
kazymovaya,281
komarovdi,257
konyaev-alexsandr,134
kotovaly,284
kozminyhms,251
kozyrevaes,167
krapivinasa,121
krylovaos,195
kucheruksv,236
kushmanovati,235
kuznecovaem,19
lactea,94
lazutkinn,262
lazyrinms,58
lohnevaei,186
lyalikovavg,325
mariia_i,4
markinaekal,80
martyshevdv,242
matveevamn,17
matveyukov,256
mdobrobaba,10
mengyas,226
mezan,206
mihajlovaev,125
mileniniv,299
mironovaekal,108
mishchenkoma,222
muravevalv,254
novikovaea,6
obedkovaav,24
parnovaim,253
pavlovatv,172
petrovake,219
petrovarts,245
plotnikoviv,40
polikarpovoa,264
ponkratovaaa,195
popovaanvl,38
popovaverval,213
ratnersv,280
reshetnikovams,95
rigosikos,134
rogozinaiv,184
ryattelav,197
rylevagv,244
salihover,12
samohinavalo,95
savelevmm,147
semenovnn,30
shchitovaaa,129
shishkovavm,278
shulikavg,216
silaevama,267
sivakovia,342
sizovny,92
skopincevan,186
smolchenkomy,309
soa_,201
sobolevama,302
solodilovasv,146
sorokinasofig,68
suprun_a,281
tanyaahtanya,267
tishchenkodv,210
troyanovaa,150
ulyanovay,5
vlasovne,28
volkovayv,182
vorobevmy,189
xmmmmm,175
yakovlevairn,27
yurevaoa,342
zamulinaov,305
zaripovagm,7
zhmurinaad,171
zlobnovaai,145
zyryanovamo,225
