problem_id,all_attempts,successful_attempts
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0028ab32953444bdaf5c18b60b7d1b2a,108,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@03148646281a4afb8506e838595a7aad,140,88
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@03c65b4e3180493880d696c33e06ed50,106,86
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@050aa2ec26c74b67b067b1e09d8a9fae,87,52
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@051c1bbc9eede4990fc1,13,5
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@051cb4837bc64a27b614bba7d7c5d4c3,58,44
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@069bfff67e58466d8584ff1eca99e81e,229,120
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@06fa329e1b0f40aab4ace27e584086fb,17,9
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@071e634385c2445db22f190b1dcc0440,18,9
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0740b5bea2084807bb12cade3fca074f,45,44
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@07dd97a7fb0944d6bff246220b31e5ee,73,51
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@08801e61ed29448dafecb392561acfab,70,50
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@088c0fe6af9c439baf2387ccd5835e27,71,45
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0a9f1fd9816c4588a2b53dd441b85d0b,65,56
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0bc5a5593e3c4eaabd68c5eee5a070fa,57,39
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0bddfe19872846e2afd9f59b1cc7d94c,227,106
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0dace94287c94b59b82702c9109e6adc,49,34
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0ea05097027ad52d3f10,28,7
block-v1:ITMOUniversity+DATANTECH2035+summer_2022_1+type@problem+block@0ec9930478994033a620c6e0a98d92ec,105,77
