word,search_count
,26
первы,9
норми,4
медиан,4
count,4
транспон,3
медиа,3
functio,3
ДАТА,3
GROUP BY,3
нормиро,3
относит,3
перв,3
с,3
линейная,3
м,3
ме,3
трансп,2
numpy,2
меди,2
и,2
f,2
LIKE,2
EXPIRE,2
лине,2
EXPIREAT,2
диспер,2
GROUP,2
мед,2
reshape,2
дисперсия,2
csv,2
ч,2
медиана,2
nump,2
евклидо,2
евклидов,2
нор,2
среднее,2
data,1
data.head,1
de,1
decimal,1
drop,1
for,1
havi,1
having,1
idex,1
ilo,1
iloc,1
iloc.,1
index,1
insert,1
join,1
len,1
like,1
lkbyf,1
lo,1
loc,1
mape,1
mas,1
masha,1
nhf,1
nhfyc,1
nu,1
p,1
pa,1
pan,1
pandas,1
res,1
resha,1
s,1
shape,1
so,1
sok,1
sokve,1
solve,1
to_char,1
value,1
vt,1
wbrk,1
z,1
zip,1
zr,1
|,1
ПК,1
ТЕК,1
ТЕКУ,1
ТЕКУЩ,1
весо,1
веср,1
взве,1
взвеш,1
вы,1
выб,1
выбо,1
выбор,1
выборо,1
выбороч,1
выборочн,1
выборочная диспер,1
выборочная дисперс,1
выборочная дисперси,1
выборочная дисперсия,1
выборочное среднее,1
выборочное среднее:,1
выбр,1
дисперп,1
дисперси,1
евк,1
евкл,1
евкли,1
евклид,1
евклидово,1
ли,1
лин,1
линей,1
линейн,1
лину,1
линц,1
медиар,1
медиаф,1
медиф,1
медт,1
между,1
методом,1
методомо,1
неч,1
нечет,1
но,1
нормип,1
нормир,1
нормировка,1
о,1
он,1
отн,1
относите,1
см,1
содерж,1
содержит,1
сорт,1
сортир,1
списки,1
ср,1
сре,1
сред,1
средне,1
среднев,1
средневзве,1
срез,1
срк,1
сру,1
счето,1
сщ,1
таблиц,1
таблица,1
таблица 1,1
так,1
тран,1
транспог,1
транспони,1
транспонир,1
транспониро,1
трас,1
трасп,1
у,1
учи,1
учит,1
учите,1
ф,1
фак,1
фактор,1
фильтр,1
цик,1
цикл,1
чg,1
чет,1
ьф,1
!,1
!4,1
.head,1
B,1
Bi,1
Bir,1
Birc,1
DISTINCT,1
EXPIREA,1
GR,1
GRO,1
IN,1
LF,1
LFNF,1
LIK,1
Loc,1
NU,1
NUM,1
NUMER,1
PERSIST,1
PERSISTEXPIREAT,1
REFERENCE,1
REFERENCES,1
RPUSH,1
SADD,1
SMEMBERS,1
STOP_TIME_REAL,1
SYS,1
a,1
aP,1
aPE,1
abkm,1
arr,1
array,1
c,1
cht,1
cjh,1
cjl,1
