username,time
silaevama,63974
OlgaStrelnikova,55172
martyshevdv,10335
lyalikovavg,55759
petrovarts,19579
rylevagv,53100
kozminyhms,35353
mengyas,68821
vorobevmy,68952
id_brunetochka,32914
mironovaekal,55372
troyanovaa,16974
alenatresh,15539
zamulinaov,47382
xmmmmm,56879
samohinavalo,40691
dyakonovasg,24100
ryattelav,67665
rigosikos,73683
yurevaoa,44873
dgluschenko,38603
tanyaahtanya,75898
rogozinaiv,48516
dyachenkoov,28905
polikarpovoa,52038
dubravinna,74661
dajbageds,15027
smolchenkomy,17197
antonkireew,18925
matveyukov,72872
kushmanovati,14823
zlobnovaai,13089
lazutkinn,11099
krapivinasa,2367
solodilovasv,57224
zhmurinaad,29822
abrosimovaoe,21329
bazhutinaov,3749
mihajlovaev,59925
andrey_andreew,59887
sorokinasofig,15222
ezhovaga,43112
shulikavg,75334
kazymovaya,33637
gadzhieva_elvira,24180
lohnevaei,50325
popovaverval,76998
kozyrevaes,15390
krylovaos,100
ponkratovaaa,16353
demidovaee,79160
komarovdi,19526
braunve,7335
sobolevama,81223
shishkovavm,46572
cherepanovaev,24099
salihover,5114
evsikovks,22961
savelevmm,10423
popovaanvl,23243
kucheruksv,1808
hodyrevan,32084
yakovlevairn,82598
antoni_chupis,15385
mileniniv,28563
muravevalv,64176
lazyrinms,15695
zaripovagm,13318
matveevamn,41499
gorbunovaa,3308
suprun_a,62095
ratnersv,40097
reshetnikovams,55545
shchitovaaa,4389
burbelaas,68108
bondarevskijmn,37231
konyaev-alexsandr,70487
,35974
mishchenkoma,67810
zyryanovamo,15065
fadeevrv,32969
mezan,81478
ibatullinaav,6480
markinaekal,40282
parnovaim,29244
obedkovaav,5128
petrovake,14113
pavlovatv,18057
semenovnn,45704
sivakovia,32753
akimovnv,37463
plotnikoviv,36695
dvolchek,6
kotovaly,34137
fastmotor,25859
tishchenkodv,17932
chursinovys,79635
sizovny,74216
soa_,24968
lactea,4095
volkovayv,18651
gudisea,3918
vlasovne,76460
kuznecovaem,4279
antondnn,76126
ulyanovay,6522
anastasiiashadchneva,24
id160430089,48204
mdobrobaba,5635
balashovasa,82464
mariia_i,1658
rezaiann,0
skopincevan,22138
novikovaea,65921
holodnayaev,3225
