time,count
2022-06-30,963
2022-07-01,1347
2022-07-02,1605
2022-07-03,2573
2022-07-04,1899
2022-07-05,1612
2022-07-06,1327
2022-07-07,1797
2022-07-08,666
2022-07-09,1074
2022-07-10,915
2022-07-11,1745
2022-07-12,1083
2022-07-13,953
2022-07-14,694
2022-07-15,388
2022-07-16,507
2022-07-17,730
2022-07-18,883
2022-07-19,837
2022-07-20,1047
2022-07-21,1185
2022-07-22,593
2022-07-23,617
2022-07-24,790
2022-07-25,1215
2022-07-26,1165
2022-07-27,1324
2022-07-28,1724
2022-07-29,415
2022-07-30,1001
2022-07-31,897
2022-08-01,1118
2022-08-02,1434
2022-08-03,1507
2022-08-04,1037
2022-08-05,824
2022-08-06,543
2022-08-07,739
2022-08-08,1011
2022-08-09,1088
2022-08-10,1687
2022-08-11,1497
2022-08-12,1409
2022-08-13,655
2022-08-14,976
2022-08-15,958
2022-08-16,1149
2022-08-17,986
2022-08-18,1119
2022-08-19,739
2022-08-20,561
2022-08-21,999
2022-08-22,622
2022-08-23,533
2022-08-24,567
2022-08-25,709
2022-08-29,145
2022-08-30,91
2022-08-31,44
2022-09-01,31
2022-09-02,12
2022-09-03,2
2022-09-10,34
2022-09-11,378
2022-09-12,622
2022-09-13,871
2022-09-14,922
2022-09-15,1012
2022-09-16,636
2022-09-17,470
2022-09-18,805
2022-09-19,1169
2022-09-20,684
2022-09-21,527
2022-09-22,575
2022-09-23,551
2022-09-24,326
2022-09-25,253
2022-09-26,432
2022-09-27,455
2022-09-28,239
2022-09-29,387
2022-09-30,181
2022-10-01,556
2022-10-02,346
2022-10-03,296
2022-10-04,404
2022-10-05,126
2022-10-06,152
2022-10-07,96
2022-10-08,62
2022-10-09,115
2022-10-10,182
2022-10-11,182
2022-10-12,135
2022-10-13,144
2022-10-14,133
2022-10-15,205
2022-10-16,35
2022-10-17,92
2022-10-19,25
2022-10-20,8
2022-10-23,101
2022-10-24,10
2022-10-26,53
2022-10-28,4
2022-10-29,53
2022-10-31,12
2022-11-01,31
2022-11-02,14
2022-11-03,26
2022-11-05,1
2022-11-06,44
2022-11-07,45
2022-11-08,55
2022-11-09,6
2022-11-10,58
2022-11-11,2
2022-11-12,41
2022-11-13,14
2022-11-14,27
2022-11-15,1
2022-11-17,5
2022-11-18,4
2022-11-20,22
